codigo_viagem,cnpj,numero_equipamento_fiscal,numero_bilhete,data_emissao_bilhete,hora_emissao_bilhete,categoria_transporte,nu_linha,origem_destino_linha,ponto_origem_viagem,ponto_destino_viagem,tipo_servico,data_viagem,hora_viagem,tipo_viagem,numero_poltrona,plataforma_embarque,tipo_gratitude,valor_tarifa,valor_percentual_desconto,valor_aliquota_icms,valor_pedagio,valor_taxa_embarque,valor_total,origem_emissao,in_passagem_cancelada
2515568,30069314000101,33200130069314000101,4836908,25-01-2020,00:17:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,25-01-2020,00:35:00,Regular,42,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
2437363,61084018000103,33191261084018005253,209490,30-12-2019,18:51:00,Interestadual,8006361,SAO PAULO(SP) - JUIZ DE FORA(MG),TRES RIOS/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,03-01-2020,22:15:00,Regular,15,11,Tarifa Normal - sem desconto,120.06,0.0,20.0,8.74,3.19,131.99,Não Se Aplica,NÃO
2515299,30069314000101,33200130069314000101,4786457,23-01-2020,01:26:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,23-01-2020,22:30:00,Regular,21,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
2452534,30069314000101,33200130069314000101,4199384,01-01-2020,13:40:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,05-01-2020,00:15:00,Regular,16,49 A 55,Tarifa Normal - sem desconto,112.02,0.0,20.0,7.83,6.14,123.99,Não Se Aplica,NÃO
2515345,30069314000101,33200130069314000101,4811208,24-01-2020,00:28:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,24-01-2020,00:35:00,Regular,20,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
2493162,61084018000103,33200161084018005253,216034,04-01-2020,14:45:00,Interestadual,6031561,JUIZ DE FORA(MG) - SANTOS(SP),TRES RIOS/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,16-01-2020,07:40:00,Regular,11,11,Tarifa Normal - sem desconto,122.52,0.0,20.0,6.28,3.19,131.99,Não Se Aplica,NÃO
2468153,61084018000103,31200161084018004877,484174,05-01-2020,22:11:00,Interestadual,8006361,SAO PAULO(SP) - JUIZ DE FORA(MG),JUIZ DE FORA/MG        ,SAO PAULO/SP        ,Convencional com sanitário,07-01-2020,22:15:00,Regular,37,11,Tarifa Normal - sem desconto,140.04,0.0,18.0,9.7,5.25,154.99,Não Se Aplica,NÃO
2515570,30069314000101,33200130069314000101,4836908,25-01-2020,00:17:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,25-01-2020,00:35:00,Regular,42,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
2452532,30069314000101,33200130069314000101,4199384,01-01-2020,13:40:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,05-01-2020,00:15:00,Regular,16,49 A 55,Tarifa Normal - sem desconto,112.02,0.0,20.0,7.83,6.14,123.99,Não Se Aplica,NÃO
2486946,30069314000101,33200130069314000101,4434392,09-01-2020,14:29:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,12-01-2020,23:35:00,Regular,9,49 A 55,Tarifa Normal - sem desconto,109.53,0.0,20.0,7.83,6.14,128.95,Não Se Aplica,NÃO
2451984,30069314000101,33191230069314000101,3447087,04-12-2019,18:59:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,02-01-2020,13:30:00,Regular,54,49 A 55,Tarifa Normal - sem desconto,110.02,0.0,20.0,7.83,6.14,123.99,Não Se Aplica,NÃO
2468125,61084018000103,33200161084018005253,220846,07-01-2020,20:56:00,Interestadual,6031561,JUIZ DE FORA(MG) - SANTOS(SP),TRES RIOS/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,07-01-2020,20:30:00,Regular,45,10,Tarifa Normal - sem desconto,118.52,0.0,20.0,6.28,3.19,127.99,Não Se Aplica,NÃO
2479597,16624611000140,35200116624611000140,705902,16-01-2020,00:54:34,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,16-01-2020,02:59:00,Regular,22,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,64.9,12.0,2.36,7.49,83.94,Presencial,NÃO
2505826,16624611000140,35200116624611000140,702435,14-01-2020,19:44:32,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,20-01-2020,11:00:00,Regular,19,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,75.0,12.0,2.36,7.49,62.62,Presencial,NÃO
2479596,16624611000140,35200116624611000140,705902,16-01-2020,00:54:34,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,16-01-2020,02:59:00,Regular,22,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,64.9,12.0,2.36,7.49,83.94,Presencial,NÃO
2457316,16624611000140,35191216624611000140,601116,10-12-2019,16:26:26,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,06-01-2020,13:00:00,Regular,5,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,50.9,12.0,2.36,7.49,113.5,Presencial,NÃO
2457317,16624611000140,35191216624611000140,601116,10-12-2019,16:26:26,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,06-01-2020,13:00:00,Regular,5,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,50.9,12.0,2.36,7.49,113.5,Presencial,NÃO
2436774,16624611000140,35191216624611000140,624779,17-12-2019,21:57:20,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),SAO PAULO/SP        ,BELO HORIZONTE/MG        ,Executivo,03-01-2020,22:15:00,Regular,27,1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",211.09,28.4,12.0,2.36,7.49,161.0,Presencial,NÃO
2443078,78586674000107,35191278586674008515,430750,27-12-2019,14:39:00,Interestadual,9013100,LONDRINA(PR) - SAO PAULO(SP),SAO PAULO/SP        ,LONDRINA/PR        ,Convencional com sanitário,04-01-2020,23:30:00,Regular,20,N/I,"Gratuidade Jovem de Baixa Renda 100% - Inciso I, art. 32 da Lei nº 12.852/13",91.94,0.0,12.0,11.37,6.59,109.9,Não Se Aplica,NÃO
2478901,16624611000140,29200116624611010960,594302,11-01-2020,12:29:56,Interestadual,6012900,ESPINOSA(MG) - CACULE(BA),LICINIO DE ALMEIDA/BA        ,ESPINOSA/MG        ,Convencional com sanitário,13-01-2020,15:00:00,Regular,11,0,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",19.65,100.0,18.0,0.0,0.0,0.0,Presencial,NÃO
2437741,16624611000140,31200116624611009873,2805908,04-01-2020,13:33:39,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,05-01-2020,13:00:00,Regular,43,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,28.35,18.0,2.54,3.9,169.0,Presencial,NÃO
2507239,16624611000140,31200116624611009873,2906206,14-01-2020,17:37:01,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,25-01-2020,11:00:00,Regular,3,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,75.0,18.0,2.54,3.9,63.16,Presencial,NÃO
2505787,16624611000140,31200116624611009873,2954291,20-01-2020,00:48:57,Interestadual,8001841,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Leito com ar condicionado,20-01-2020,01:15:00,Regular,10,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",359.79,52.3,18.0,4.49,3.9,180.0,Internet,NÃO
2506085,16624611000140,31200116624611009873,2964850,21-01-2020,02:42:44,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,21-01-2020,02:59:00,Regular,30,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,65.9,18.0,2.54,3.9,83.81,Internet,NÃO
2436877,16624611000140,31200116624611009873,2800174,03-01-2020,19:49:57,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,04-01-2020,02:59:00,Regular,1,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,28.35,18.0,2.54,3.9,169.0,Presencial,NÃO
2507204,16624611000140,31200116624611009873,2997415,24-01-2020,21:05:35,Interestadual,8001841,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Leito com ar condicionado,25-01-2020,01:15:00,Regular,14,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",359.79,68.92,18.0,4.49,3.9,120.21,Presencial,NÃO
2479074,16624611000140,31200116624611009873,2869018,10-01-2020,18:44:46,Interestadual,8001841,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Leito com ar condicionado,14-01-2020,01:15:00,Regular,9,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",359.95,68.92,18.0,4.49,3.9,120.26,Presencial,NÃO
2507240,16624611000140,31200116624611009873,2906206,14-01-2020,17:37:01,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,25-01-2020,11:00:00,Regular,3,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,75.0,18.0,2.54,3.9,63.16,Presencial,NÃO
2505786,16624611000140,31200116624611009873,2954291,20-01-2020,00:48:57,Interestadual,8001841,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Leito com ar condicionado,20-01-2020,01:15:00,Regular,10,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",359.79,52.3,18.0,4.49,3.9,180.0,Internet,NÃO
2506086,16624611000140,31200116624611009873,2964850,21-01-2020,02:42:44,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,21-01-2020,02:59:00,Regular,30,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,65.9,18.0,2.54,3.9,83.81,Internet,NÃO
2479960,16624611000140,31200116624611009873,2920215,16-01-2020,08:14:53,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,17-01-2020,13:00:00,Regular,27,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,75.0,18.0,2.54,3.9,63.16,Presencial,NÃO
2479959,16624611000140,31200116624611009873,2920215,16-01-2020,08:14:53,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,17-01-2020,13:00:00,Regular,27,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,75.0,18.0,2.54,3.9,63.16,Presencial,NÃO
2437662,16624611000140,31191216624611009873,2741766,28-12-2019,14:26:36,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,05-01-2020,02:59:00,Regular,23,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,28.35,18.0,2.54,3.9,169.0,Presencial,NÃO
2505479,16624611000140,31200116624611009873,2929223,16-01-2020,23:06:23,Interestadual,8001861,SAO PAULO(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,SAO PAULO/SP        ,Executivo,19-01-2020,02:59:00,Regular,3,A1,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",226.89,75.0,18.0,2.54,3.9,63.16,Presencial,NÃO
2492937,61084018000103,31200161084018004877,483786,05-01-2020,18:46:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,14-01-2020,23:59:00,Regular,19,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,119.99,Não Se Aplica,NÃO
2493779,61084018000103,31200161084018004877,512186,17-01-2020,10:28:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,18-01-2020,22:30:00,Regular,20,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,119.99,Não Se Aplica,NÃO
2493776,61084018000103,31200161084018004877,512186,17-01-2020,10:28:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,18-01-2020,22:30:00,Regular,20,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,119.99,Não Se Aplica,NÃO
2437424,61084018000103,31200161084018004877,477030,02-01-2020,22:15:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,03-01-2020,23:59:00,Regular,52,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,124.99,Não Se Aplica,NÃO
2493537,61084018000103,31200161084018004877,490914,08-01-2020,13:08:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,17-01-2020,22:30:00,Regular,35,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,124.99,Não Se Aplica,NÃO
2493535,61084018000103,31200161084018004877,490914,08-01-2020,13:08:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,17-01-2020,22:30:00,Regular,35,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,124.99,Não Se Aplica,NÃO
2511087,23542573000142,33200133337007000152,100578991,23-01-2020,16:27:00,Interestadual,6029300,JUIZ DE FORA(MG) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,JUIZ DE FORA/MG        ,Convencional com sanitário,25-01-2020,20:00:00,Regular,41,N/I,Tarifa Normal - sem desconto,46.36,0.0,20.0,3.1,6.14,55.6,Não Se Aplica,NÃO
2444619,23542573000142,33200133337007000152,100422302,04-01-2020,18:29:00,Interestadual,6029300,JUIZ DE FORA(MG) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,JUIZ DE FORA/MG        ,Convencional com sanitário,04-01-2020,21:30:00,Regular,22,N/I,"Gratuidade Jovem de Baixa Renda 50% - Inciso II, art. 32 da Lei nº 12.852/13",23.18,42.0,20.0,3.1,6.14,32.42,Não Se Aplica,NÃO
2444194,23542573000142,33191133337007000152,100746027,07-11-2019,13:17:00,Interestadual,12014941,BRASILIA(DF) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,BRASILIA/DF        ,Leito com ar condicionado,03-01-2020,20:30:00,Regular,50,N/I,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",304.24,58.0,20.0,7.63,6.14,318.01,Não Se Aplica,NÃO
2460623,23542573000142,33191133337007000152,100746027,07-11-2019,13:17:00,Não Se Aplica,12014941,BRASILIA(DF) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,BRASILIA/DF        ,Não Se Aplica,03-01-2020,20:30:00,Regular,50,N/I,"Tarifa Promocional - Parágrafo 3º, art. 27 do Decreto nº 2.521/98",304.24,58.0,20.0,7.63,6.14,318.01,Não Se Aplica,NÃO
2468055,61084018000103,33200161084018005253,219264,06-01-2020,19:38:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,BELO HORIZONTE/MG        ,Convencional com sanitário,07-01-2020,11:00:00,Regular,49,49 A 55,Tarifa Normal - sem desconto,106.15,0.0,20.0,7.7,6.14,119.99,Não Se Aplica,NÃO
2468406,61084018000103,33200161084018005253,222464,08-01-2020,21:48:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,BELO HORIZONTE/MG        ,Convencional com sanitário,08-01-2020,22:30:00,Regular,48,49 A 55,Tarifa Normal - sem desconto,106.15,0.0,20.0,7.7,6.14,119.99,Não Se Aplica,NÃO
2467812,61084018000103,33191261084018005253,204195,26-12-2019,15:44:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,BELO HORIZONTE/MG        ,Convencional com sanitário,06-01-2020,11:00:00,Regular,13,49 A 55,Tarifa Normal - sem desconto,106.15,0.0,20.0,7.7,6.14,119.99,Não Se Aplica,NÃO
2520477,61084018000103,31191261084018004877,470555,30-12-2019,20:24:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,19-01-2020,22:30:00,Regular,35,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,124.99,Não Se Aplica,NÃO
2468674,61084018000103,31200161084018004877,490939,08-01-2020,13:17:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,09-01-2020,23:59:00,Regular,49,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,119.99,Não Se Aplica,NÃO
2467719,61084018000103,31200161084018004877,477030,02-01-2020,22:15:00,Não Se Aplica,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Não Se Aplica,03-01-2020,23:59:00,Regular,52,E2,Tarifa Normal - sem desconto,108.58,0.0,18.0,7.51,3.9,124.99,Não Se Aplica,NÃO
2436200,61084018000103,31191261084018004877,465440,28-12-2019,17:02:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,01-01-2020,22:10:00,Regular,9,00,Tarifa Normal - sem desconto,109.48,0.0,18.0,6.61,3.9,139.99,Não Se Aplica,NÃO
2468898,61084018000103,31200161084018004877,499597,11-01-2020,21:50:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,11-01-2020,22:10:00,Regular,37,00,"Gratuidade de Criança - Inciso XVII, art. 29 do Decreto nº 2.521/98",109.48,100.0,18.0,0.0,0.0,0.0,Não Se Aplica,NÃO
2520741,61084018000103,31200161084018004877,519016,20-01-2020,15:39:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,20-01-2020,23:00:00,Regular,29,E2,Tarifa Normal - sem desconto,109.48,0.0,18.0,6.61,3.9,119.99,Não Se Aplica,NÃO
2521175,61084018000103,31200161084018004877,524274,22-01-2020,19:53:00,Interestadual,6030561,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,22-01-2020,22:00:00,Regular,7,E2,Tarifa Normal - sem desconto,109.48,0.0,18.0,6.61,3.9,119.99,Não Se Aplica,NÃO
2437341,61084018000103,31191261084018004877,459086,26-12-2019,15:39:00,Interestadual,8020761,CAMPINAS(SP) - BELO HORIZONTE(MG),BELO HORIZONTE/MG        ,CAMPINAS/SP        ,Convencional com sanitário,03-01-2020,21:29:00,Regular,40,E2,Tarifa Normal - sem desconto,127.52,0.0,18.0,2.57,3.9,159.99,Não Se Aplica,NÃO
2487009,30069314000101,33200130069314000101,4523371,13-01-2020,00:18:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,13-01-2020,09:30:00,Regular,37,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
2451982,30069314000101,33191230069314000101,3447087,04-12-2019,18:59:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,02-01-2020,13:30:00,Regular,54,49 A 55,Tarifa Normal - sem desconto,110.02,0.0,20.0,7.83,6.14,123.99,Não Se Aplica,NÃO
2487595,30069314000101,33200130069314000101,4636782,16-01-2020,22:41:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,17-01-2020,00:15:00,Regular,46,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
